Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Hank Beatty (43727975),Hank Beatty,43727975,WR/FLEX,3000,NYJ@TEN 09/13/2026 01:00PM ET,TEN,0,
WR,Anthony Gould (43727977),Anthony Gould,43727977,WR/FLEX,3000,BAL@IND 09/13/2026 01:00PM ET,IND,0.2,
WR,Laquon Treadwell (43727979),Laquon Treadwell,43727979,WR/FLEX,3000,BAL@IND 09/13/2026 01:00PM ET,IND,0,
WR,Coleman Owen (43727981),Coleman Owen,43727981,WR/FLEX,3000,BAL@IND 09/13/2026 01:00PM ET,IND,0,IR
WR,Eli Pancol (43727983),Eli Pancol,43727983,WR/FLEX,3000,BAL@IND 09/13/2026 01:00PM ET,IND,0,
WR,Sahmir Hagans (43727985),Sahmir Hagans,43727985,WR/FLEX,3000,BAL@IND 09/13/2026 01:00PM ET,IND,0,
WR,E.J. Horton Jr. (43727987),E.J. Horton Jr.,43727987,WR/FLEX,3000,BAL@IND 09/13/2026 01:00PM ET,IND,0,
WR,Raylen Sharpe (43727989),Raylen Sharpe,43727989,WR/FLEX,3000,BAL@IND 09/13/2026 01:00PM ET,IND,0,
WR,Dareke Young (43727991),Dareke Young,43727991,WR/FLEX,3000,MIA@LV 09/13/2026 04:25PM ET,LV,0.6,
WR,Shedrick Jackson (43727993),Shedrick Jackson,43727993,WR/FLEX,3000,MIA@LV 09/13/2026 04:25PM ET,LV,3.2,
WR,Phillip Dorsett II (43727995),Phillip Dorsett II,43727995,WR/FLEX,3000,MIA@LV 09/13/2026 04:25PM ET,LV,0,
WR,Brandon Johnson (43727997),Brandon Johnson,43727997,WR/FLEX,3000,ATL@PIT 09/13/2026 01:00PM ET,PIT,0,
WR,Chase Roberts (43727999),Chase Roberts,43727999,WR/FLEX,3000,MIA@LV 09/13/2026 04:25PM ET,LV,0,IR
WR,E.J. Williams Jr. (43728001),E.J. Williams Jr.,43728001,WR/FLEX,3000,MIA@LV 09/13/2026 04:25PM ET,LV,0,
WR,Deven Thompkins (43728003),Deven Thompkins,43728003,WR/FLEX,3000,MIA@LV 09/13/2026 04:25PM ET,LV,0.9,
WR,Justin Shorter (43728005),Justin Shorter,43728005,WR/FLEX,3000,MIA@LV 09/13/2026 04:25PM ET,LV,0,IR
WR,Corey Rucker (43728007),Corey Rucker,43728007,WR/FLEX,3000,MIA@LV 09/13/2026 04:25PM ET,LV,0,IR
WR,Caleb Douglas (43728009),Caleb Douglas,43728009,WR/FLEX,3000,MIA@LV 09/13/2026 04:25PM ET,MIA,0,
WR,Kevin Coleman Jr. (43728011),Kevin Coleman Jr.,43728011,WR/FLEX,3000,MIA@LV 09/13/2026 04:25PM ET,MIA,0,
WR,Theo Wease Jr. (43728013),Theo Wease Jr.,43728013,WR/FLEX,3000,MIA@LV 09/13/2026 04:25PM ET,MIA,8.6,
WR,Tahj Washington (43728015),Tahj Washington,43728015,WR/FLEX,3000,WAS@PHI 09/13/2026 04:25PM ET,PHI,1,
WR,Jalen Reagor (43728017),Jalen Reagor,43728017,WR/FLEX,3000,MIA@LV 09/13/2026 04:25PM ET,MIA,0,
WR,Terrace Marshall Jr. (43728019),Terrace Marshall Jr.,43728019,WR/FLEX,3000,MIA@LV 09/13/2026 04:25PM ET,MIA,0,
WR,AJ Henning (43728021),AJ Henning,43728021,WR/FLEX,3000,MIA@LV 09/13/2026 04:25PM ET,MIA,0,
WR,Donaven McCulley (43728023),Donaven McCulley,43728023,WR/FLEX,3000,MIA@LV 09/13/2026 04:25PM ET,MIA,0,
WR,Tai Felton (43728025),Tai Felton,43728025,WR/FLEX,3000,GB@MIN 09/13/2026 04:25PM ET,MIN,0.3,
WR,Myles Price (43728027),Myles Price,43728027,WR/FLEX,3000,GB@MIN 09/13/2026 04:25PM ET,MIN,-0.2,
WR,Dillon Bell (43728029),Dillon Bell,43728029,WR/FLEX,3000,GB@MIN 09/13/2026 04:25PM ET,MIN,0,
WR,Jeshaun Jones (43728031),Jeshaun Jones,43728031,WR/FLEX,3000,GB@MIN 09/13/2026 04:25PM ET,MIN,0,OUT
WR,Dontae Fleming (43728033),Dontae Fleming,43728033,WR/FLEX,3000,GB@MIN 09/13/2026 04:25PM ET,MIN,0,IR
WR,Trayvon Rudolph (43728035),Trayvon Rudolph,43728035,WR/FLEX,3000,GB@MIN 09/13/2026 04:25PM ET,MIN,0,
WR,Michael Briscoe (43728037),Michael Briscoe,43728037,WR/FLEX,3000,GB@MIN 09/13/2026 04:25PM ET,MIN,0,
WR,Terrill Davis (43728039),Terrill Davis,43728039,WR/FLEX,3000,GB@MIN 09/13/2026 04:25PM ET,MIN,0,
WR,Marcus Sanders Jr. (43728041),Marcus Sanders Jr.,43728041,WR/FLEX,3000,GB@MIN 09/13/2026 04:25PM ET,MIN,0,
WR,Ja'Lynn Polk (43728043),Ja'Lynn Polk,43728043,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,NO,0,OUT
WR,Barion Brown (43728045),Barion Brown,43728045,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,NO,0,
WR,Mason Tipton (43728047),Mason Tipton,43728047,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,NO,1.5,OUT
WR,Ronnie Bell (43728049),Ronnie Bell,43728049,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,NO,5.2,
WR,Trey Palmer (43728051),Trey Palmer,43728051,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,NO,0,
WR,Bub Means (43728053),Bub Means,43728053,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,NO,0,
WR,Kevin Austin Jr. (43728055),Kevin Austin Jr.,43728055,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,NO,4.1,
WR,Jalen Moreno-Cropper (43728057),Jalen Moreno-Cropper,43728057,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,NO,0,
WR,Brock Rechsteiner (43728059),Brock Rechsteiner,43728059,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,NO,0,OUT
WR,Tim Patrick (43728061),Tim Patrick,43728061,WR/FLEX,3000,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,3,
WR,Isaiah Williams (43728063),Isaiah Williams,43728063,WR/FLEX,3000,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,4,
WR,Arian Smith (43728065),Arian Smith,43728065,WR/FLEX,3000,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,0.8,
WR,Jamaal Pritchett (43728067),Jamaal Pritchett,43728067,WR/FLEX,3000,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,0,
WR,Gee Scott Jr. (43728069),Gee Scott Jr.,43728069,WR/FLEX,3000,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,0,Q
WR,Jalen Walthall (43728071),Jalen Walthall,43728071,WR/FLEX,3000,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,0,Q
WR,Caullin Lacy (43728073),Caullin Lacy,43728073,WR/FLEX,3000,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,0,Q
WR,DT Sheffield (43728075),DT Sheffield,43728075,WR/FLEX,3000,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,0,Q
WR,Malik McClain (43728077),Malik McClain,43728077,WR/FLEX,3000,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,0,
WR,Elijah Moore (43728079),Elijah Moore,43728079,WR/FLEX,3000,WAS@PHI 09/13/2026 04:25PM ET,PHI,3,
WR,Johnny Wilson (43728081),Johnny Wilson,43728081,WR/FLEX,3000,WAS@PHI 09/13/2026 04:25PM ET,PHI,0,IR
WR,Darius Cooper (43728083),Darius Cooper,43728083,WR/FLEX,3000,WAS@PHI 09/13/2026 04:25PM ET,PHI,1.4,
WR,Britain Covey (43728085),Britain Covey,43728085,WR/FLEX,3000,WAS@PHI 09/13/2026 04:25PM ET,PHI,0.6,
WR,Quez Watkins (43728087),Quez Watkins,43728087,WR/FLEX,3000,WAS@PHI 09/13/2026 04:25PM ET,PHI,0,
WR,Samori Toure (43728089),Samori Toure,43728089,WR/FLEX,3000,WAS@PHI 09/13/2026 04:25PM ET,PHI,1.3,
WR,Danny Gray (43728091),Danny Gray,43728091,WR/FLEX,3000,WAS@PHI 09/13/2026 04:25PM ET,PHI,0,
WR,Erik Ezukanma (43728093),Erik Ezukanma,43728093,WR/FLEX,3000,WAS@PHI 09/13/2026 04:25PM ET,PHI,0,
WR,Reggie Virgil (43728095),Reggie Virgil,43728095,WR/FLEX,3000,ARI@LAC 09/13/2026 04:25PM ET,ARI,0,
WR,Devin Duvernay (43728097),Devin Duvernay,43728097,WR/FLEX,3000,ARI@LAC 09/13/2026 04:25PM ET,ARI,0.2,
WR,Simi Fehoko (43728099),Simi Fehoko,43728099,WR/FLEX,3000,ARI@LAC 09/13/2026 04:25PM ET,ARI,0,
WR,Jalen Brooks (43728101),Jalen Brooks,43728101,WR/FLEX,3000,ARI@LAC 09/13/2026 04:25PM ET,ARI,1.2,
WR,Tejhaun Palmer (43728103),Tejhaun Palmer,43728103,WR/FLEX,3000,ARI@LAC 09/13/2026 04:25PM ET,ARI,0,
WR,Harrison Wallace III (43728105),Harrison Wallace III,43728105,WR/FLEX,3000,ARI@LAC 09/13/2026 04:25PM ET,ARI,0,
WR,Bryson Green (43728107),Bryson Green,43728107,WR/FLEX,3000,ARI@LAC 09/13/2026 04:25PM ET,ARI,0,
WR,Ben Skowronek (43728109),Ben Skowronek,43728109,WR/FLEX,3000,ATL@PIT 09/13/2026 01:00PM ET,PIT,0.9,Q
WR,Kaden Wetjen (43728111),Kaden Wetjen,43728111,WR/FLEX,3000,ATL@PIT 09/13/2026 01:00PM ET,PIT,0,
WR,Max Hurleman (43728113),Max Hurleman,43728113,WR/FLEX,3000,ATL@PIT 09/13/2026 01:00PM ET,PIT,0,
WR,Cole Burgess (43728115),Cole Burgess,43728115,WR/FLEX,3000,ATL@PIT 09/13/2026 01:00PM ET,PIT,0,IR
WR,Brandon Smith (43728117),Brandon Smith,43728117,WR/FLEX,3000,ATL@PIT 09/13/2026 01:00PM ET,PIT,0,
WR,Joaquin Davis (43728119),Joaquin Davis,43728119,WR/FLEX,3000,ATL@PIT 09/13/2026 01:00PM ET,PIT,0,
WR,Levi Wentz (43728121),Levi Wentz,43728121,WR/FLEX,3000,ATL@PIT 09/13/2026 01:00PM ET,PIT,0,
WR,KeAndre Lambert-Smith (43728123),KeAndre Lambert-Smith,43728123,WR/FLEX,3000,ARI@LAC 09/13/2026 04:25PM ET,LAC,1.6,
WR,Derius Davis (43728125),Derius Davis,43728125,WR/FLEX,3000,ARI@LAC 09/13/2026 04:25PM ET,LAC,0.2,
WR,Dalevon Campbell (43728127),Dalevon Campbell,43728127,WR/FLEX,3000,ARI@LAC 09/13/2026 04:25PM ET,LAC,0,IR
WR,Luke Grimm (43728129),Luke Grimm,43728129,WR/FLEX,3000,ARI@LAC 09/13/2026 04:25PM ET,LAC,0,Q
WR,JaQuae Jackson (43728131),JaQuae Jackson,43728131,WR/FLEX,3000,ARI@LAC 09/13/2026 04:25PM ET,LAC,0,
WR,Mante Morrow (43728133),Mante Morrow,43728133,WR/FLEX,3000,ARI@LAC 09/13/2026 04:25PM ET,LAC,0,
WR,Devonte Ross (43728135),Devonte Ross,43728135,WR/FLEX,3000,ARI@LAC 09/13/2026 04:25PM ET,LAC,0,
WR,Sincere Brown (43728137),Sincere Brown,43728137,WR/FLEX,3000,ARI@LAC 09/13/2026 04:25PM ET,LAC,0,IR
WR,Kameron Johnson (43728139),Kameron Johnson,43728139,WR/FLEX,3000,TB@CIN 09/13/2026 01:00PM ET,TB,1,
WR,David Sills V (43728141),David Sills V,43728141,WR/FLEX,3000,TB@CIN 09/13/2026 01:00PM ET,TB,2.9,IR
WR,Dennis Houston (43728143),Dennis Houston,43728143,WR/FLEX,3000,TB@CIN 09/13/2026 01:00PM ET,TB,0,Q
WR,Garrett Greene (43728145),Garrett Greene,43728145,WR/FLEX,3000,TB@CIN 09/13/2026 01:00PM ET,TB,0,
WR,Eric Rivers Jr. (43728147),Eric Rivers Jr.,43728147,WR/FLEX,3000,TB@CIN 09/13/2026 01:00PM ET,TB,0,
WR,Dean Patterson IV (43728149),Dean Patterson IV,43728149,WR/FLEX,3000,TB@CIN 09/13/2026 01:00PM ET,TB,0,
WR,Van Jefferson (43728151),Van Jefferson,43728151,WR/FLEX,3000,WAS@PHI 09/13/2026 04:25PM ET,WAS,4.4,
WR,Jacoby Jones (43728153),Jacoby Jones,43728153,WR/FLEX,3000,WAS@PHI 09/13/2026 04:25PM ET,WAS,3.5,IR
WR,Nick Nash (43728155),Nick Nash,43728155,WR/FLEX,3000,WAS@PHI 09/13/2026 04:25PM ET,WAS,0,
WR,Jaden Bradley (43728157),Jaden Bradley,43728157,WR/FLEX,3000,WAS@PHI 09/13/2026 04:25PM ET,WAS,0,
WR,Chris Hilton Jr. (43728159),Chris Hilton Jr.,43728159,WR/FLEX,3000,GB@MIN 09/13/2026 04:25PM ET,GB,0,
WR,River Cracraft (43728161),River Cracraft,43728161,WR/FLEX,3000,WAS@PHI 09/13/2026 04:25PM ET,WAS,0,Q
WR,Chris Brazzell II (43728163),Chris Brazzell II,43728163,WR/FLEX,3000,CHI@CAR 09/13/2026 01:00PM ET,CAR,0,IR
WR,Jimmy Horn Jr. (43728165),Jimmy Horn Jr.,43728165,WR/FLEX,3000,CHI@CAR 09/13/2026 01:00PM ET,CAR,1.9,
WR,Brycen Tremayne (43728167),Brycen Tremayne,43728167,WR/FLEX,3000,CHI@CAR 09/13/2026 01:00PM ET,CAR,1.8,
WR,David Moore (43728169),David Moore,43728169,WR/FLEX,3000,CHI@CAR 09/13/2026 01:00PM ET,CAR,0.7,
WR,Dan Chisena (43728171),Dan Chisena,43728171,WR/FLEX,3000,CHI@CAR 09/13/2026 01:00PM ET,CAR,0,Q
WR,Ainias Smith (43728173),Ainias Smith,43728173,WR/FLEX,3000,CHI@CAR 09/13/2026 01:00PM ET,CAR,0,Q
WR,Ja'seem Reed (43728175),Ja'seem Reed,43728175,WR/FLEX,3000,CHI@CAR 09/13/2026 01:00PM ET,CAR,0,
WR,Malick Meiga (43728177),Malick Meiga,43728177,WR/FLEX,3000,CHI@CAR 09/13/2026 01:00PM ET,CAR,0,Q
